Week,Hillary Clinton,Bernie Sanders,Ben Carson,Ted Cruz,Carly Fiorina,Mike Huckabee,Rand Paul,Marco Rubio,Jeb Bush,Scott Walker,Chris Christie,Lindsey Graham,Rick Santorum,Martin O'Malley,George Pataki,Rick Perry,Lincoln Chafee,Bobby Jindal,John Kasich,Jim Webb,Donald Trump
12/28/2014,1.699089009,0.177758004,0.85261851,0.392416335,0.122591731,0.104202969,0.312674018,0.300404754,2.192188538,0.263572223,0.318738497,0.030652208,0.177758004,0.049036695,0.128721322,0.159369255,0,0.049036695,0.067425457,0.165498834,1.566544367
1/4/2015,4.286984929,0.524219562,1.952675595,0.895633369,0.398397208,2.841354413,0.9771624,0.627540634,3.058373446,0.88478759,10.55891883,0.316498755,0.589490275,0.06549109,0.180100914,0.655018065,0.027284375,0.212818128,0.256543746,0.327412505,5.990411787
1/11/2015,4.773637918,0.65286055,2.172130899,3.25188898,0.4708639,1.790673628,1.56965936,1.924256697,2.414265846,1.254224863,4.351757674,0.256834852,0.422804257,0.037455081,0.133771009,0.856674118,0.048156541,0.422776522,0.374733567,0.090962346,4.562137638
1/18/2015,5.43285858,0.585971729,2.316812461,2.687080636,0.260327017,3.225529583,1.793156957,2.109874433,2.228996556,1.308921306,1.16075687,0.629297694,0.536937329,0.103046115,0.0542348,1.009946883,0.0271174,2.60466507,0.390627503,0.227786132,5.755546121
1/25/2015,5.993947499,0.650900492,3.340371445,1.950259122,0.565405629,1.860751658,1.601864389,1.522475871,3.547726655,5.3587724,2.762685769,0.645679704,0.629603847,0.042680231,0.101346293,1.147857646,0.015581551,1.120723219,0.576348945,0.368247167,7.265552788
2/1/2015,6.172596076,0.540314628,2.636813624,1.216201913,0.633777831,2.029434836,5.412010764,0.83137474,3.251391753,6.669332339,3.435646953,0.524663977,0.368852025,0.036356945,0.457111054,0.612974715,0.015581551,1.746721891,0.353252205,0.171397002,4.237097571
2/8/2015,5.536279484,0.912232559,4.340607172,1.367398563,0.258809067,0.844670169,2.131984037,0.808549562,2.965133341,5.168387621,1.571427617,0.305394707,1.273992824,0.046585628,0.051761816,0.533303115,0.015528538,1.305663097,0.28987126,0.19670285,3.750439792
2/15/2015,6.30523675,0.601970186,2.703171389,0.935326775,0.494354133,0.908555012,1.835525568,0.881480017,3.918482553,4.864731028,1.365800742,0.274123661,0.456821377,0.021493662,0.161203514,0.531968039,0,0.483608136,0.365423606,0.220444982,5.603341976
2/22/2015,5.95076925,0.614436995,3.63718503,1.725336098,1.354533518,0.666263597,2.047545168,1.073376014,4.29361255,6.871633611,1.893827938,0.447863698,0.51546685,0.036436289,0.135334788,0.692289519,0,0.83306359,0.432090031,0.520679463,4.649834252
3/1/2015,16.01900513,0.766823274,8.925508988,1.346413086,0.583661182,0.823602954,2.74096279,1.042539564,2.812992842,4.432652745,1.812020841,0.58887244,0.375263896,0.198027908,0.119858999,0.609945209,0,0.375210758,0.218937551,0.208450424,4.000572858
3/8/2015,30.11879421,0.886880331,3.421351627,1.484731602,0.602127469,0.833234014,1.889200348,1.253104245,2.553814566,3.124342717,1.286763165,1.679367202,0.408324302,0.311615918,0.150435274,0.473063357,0,0.365342795,0.231037081,0.494491819,4.071599264
